serviceId,serviceName,pageUrl,pageHttpStatus,available,introduction,feeCount,feeInfo,documentCount,mandatoryDocumentCount,requiredDocuments,contact,timeLimit,formSectionCount,formFieldCount
1,Birth Registration & Certificate,https://cgedistrict.cgstate.gov.in/instractionPageNew.do?lang=en&serviceId=1,200,Yes,"Birth Certificate Correction (Legacy) In Chhattisgarh, obtaining a Birth Certificate Correction (Legacy) whose birth certificate has errors, or by parents/guardians in case of minors within a Municipality, Nagar Panchayat, Corporation and the process can be completed easily through the eDistrict Portal. Applicants need to register on the portal with their personal details or apply through LSK/CSC log in, and select the “Birth Certificate Correction (Legacy)” service, after which they must fill out the application form. Upon submission, a unique Application reference number (ARN) is generated for tracking the application, which is generally processed within 07 working days by the Economics and Statistic. Once approved, the applicant receives an SMS notification and can download the digitally signed Birth Certificate Correction (Legacy) directly from the portal.",2,Lok Seva Kendra: ₹30.0 | Online: ₹30.0,5,2,Affidavit -> Affidavit (No) | Birth Information Form -> Birth Information Form (Yes) | Order -> Order Of A Magistrate Of First Class Or An Executive Magistrate (Yes) | Additional -> Additional Document (No) |  -> Additional Document (),Lok Seva Kendra,7 Days,0,0
2,Death Registration & Certificate,https://cgedistrict.cgstate.gov.in/instractionPageNew.do?lang=en&serviceId=2,200,Yes,"Death Certificate Correction (Legacy) In Chhattisgarh, obtaining a Death Certificate Correction (Legacy) service can be applied for by family members/legal heirs of the deceased or parents/guardians in case of minors within a Municipality, Nagar Panchayat, Corporation, and the process can be completed easily through the eDistrict Portal. Applicants need to register on the portal with their personal details or apply through LSK/CSC log in, and select the “Death Certificate Correction (Legacy)” service, after which they must fill out the application form Upon submission, an ARN (Application reference Number) is generated, through which the applicant can track the application status, which is generally processed within 07 working days by the Economics and Statistic. Once approved, the applicant receives an SMS notification and can download the digitally signed Death Certificate Correction (Legacy) directly from the portal.",2,Lok Seva Kendra: ₹30.0 | Online: ₹30.0,10,5,Affidavit -> Affidavit (No) | Order -> Order Of A Magistrate Of First Class Or An Executive Magistrate (Yes) | Certificate/Document -> Doctors Certificate/Document Given By Cremation Ground (Yes) | Additional Document -> Certificate Issued By Ward Member Or Doctor (No) |  -> Other Documents () | Permission Form -> Permission Form (Yes) | Death Information Form -> Death Information Form (Yes) | Form -> Form 4a(Accident Case) (No) |  -> Form 4(Death In Hospital) () | Self Attested Shapat Patra -> Self Attested Shapat Patra (Yes),Lok Seva Kendra,7 Days,0,0
3,Marriage Registration & Certificate,https://cgedistrict.cgstate.gov.in/instractionPageNew.do?lang=en&serviceId=3,200,Yes,"Marriage Registration & Certificate In Chhattisgarh, obtaining a Marriage Registration & Certificate is mandatory for couples who wish to legally validate their marriage within the jurisdiction of a Corporation, Municipality Nagar Panchayat, Division, Ward and the process can be completed easily through the eDistrict Portal. Applicants need to register on the portal with their personal details or apply through LSK/CSC log in, and select the “Marriage Registration & Certificate” service, after which they must fill out the application form. Upon submission, a unique Acknowledgment Number (ARN) is generated for tracking the application, which is generally processed within 15 working days. Once approved, the applicant receives an SMS notification and can download the digitally signed Marriage Registration & Certificate directly from the portal. The certificate remains valid for a lifetime and serves as an essential legal document for availing various government schemes, visas, joint bank accounts, and other official purposes.",2,Lok Seva Kendra: ₹30.0 | Online: ₹30.0,14,8,Affidavit -> Affidavit (Yes) | At The Time Of Marriage Combined Photograph Of Groom And Bride(2a Size) -> At The Time Of Marriage Combined Photograph Of Groom And Bride(2a Size) (Yes) | Declaration Letter From Guardian Of Married Couple -> Declaration Letter From Guardian Of Married Couple (No) | Other -> Other (No) | Necessary Documents -> Necessary Documents (No) | Birth Certificate Of Groom -> Birth Certificate Of Groom (Yes) | Birth Certificate Of Bride -> Birth Certificate Of Bride (Yes) | Document Signed By The Bride And Groom (First Page) -> Document Signed By The Bride And Groom (First Page) (Yes) | Document Signed By The Bride And Groom (Second Page) -> Document Signed By The Bride And Groom (Second Page) (Yes) | Copy Of Challan -> Copy Of Challan (Yes) | Marriage Invitation Card -> Marriage Invitation Card (Yes) | Divorce Certifcate -> Divorce Certificate (No) | Widow Certificate -> Widow Certificate (No) | Inter Religion Marriage Certificate -> Inter Religion Marriage Certificate (No),Lok Seva Kendra,15 Days,5,35
4,SC/ST Certificate,https://cgedistrict.cgstate.gov.in/instractionPageNew.do?lang=en&serviceId=4,200,Yes,"SC / ST Certificate Service In Chhattisgarh, obtaining a Scheduled Caste (SC) or Scheduled Tribe (ST) Certificate is essential for individuals belonging to these categories to avail government benefits such as reservations in education, employment, scholarships, and welfare schemes. The application process is simple and can be completed through the eDistrict Portal of Chhattisgarh. Applicants need to register on the portal with their personal details or apply through LSK/CSC login, and select the “SC/ST Certificate” service. They must then fill out the application form, upload the required documents. Upon submission, a unique Application Reference Number (ARN) is generated for tracking the application. Once approved, the applicant receives a SMS notification and can download the digitally signed SC/ST Certificate directly from the portal. The certificate remains valid permanently, unless otherwise directed by the issuing authority, and can be used for all official and legal purposes across the state.",2,Lok Seva Kendra: ₹30.0 | Online: ₹30.0,38,1,"Residential Proof -> Domicile Certificate (No) |  -> Electricity Bill () |  -> Ration Card () |  -> Telephone Bill () |  -> Birth Certificate () |  -> Voters Identity Card () |  -> Bpl Certificate () |  -> Land And House Document () |  -> Driving License () |  -> Other Documents () |  -> Certificate From Ward Member, Local Mla/Mp () |  -> Photo Identity Card () |  -> Service Certificate Of Father / Guardian () |  -> Order Of Involuntary Migration () |  -> Domicile Certificate () | Caste Proof -> Sc/St Certificate Of Other State (Yes) |  -> Sc/St Certificate From Sarpanch / Parshad / Mla / Mp () |  -> Transfer Certificate From Any Recognized School Or Any School Countersigned By Deo () |  -> Father/Guardians Service Certificate/Identity Card () |  -> Educational Certificate () |  -> Caste Certificate Issued Earlier To The Applicant Or Any Member Of His Family () |  -> Primary School Certificate () |  -> Birth Information Form () |  -> Misal () |  -> Adhikar Abhilekh () |  -> Jamabandi () |  -> Census Register Of 1931 () |  -> Citizen Register Of 1959 () |  -> Dakhil / Kharij Panji () |  -> Disability / Unavailability Proof () | Affidavit -> Affidavit (No) | Vanshavali -> Vanshavali (No) |  -> Vanshavali 1 () |  -> Vanshavali 2 () |  -> Vanshavali 3 () |  -> Vanshavali 4 () | Gram Sabha Proposal (Resident Of Rural Areas People) -> Gram Sabha Proposal (Resident Of Rural Areas People) (No) | Madhya Pradesh Reorganization Act 2000 (No. 26 Of 2000 Under Section 67 C.G. State Cadre Allocation) Proof -> Madhya Pradesh Reorganization Act 2000 (No. 26 Of 2000 Under Section 67 C.G. State Cadre Allocation) Proof (No)",Lok Seva Kendra,22 Days,6,41
5,OBC Certificate,https://cgedistrict.cgstate.gov.in/instractionPageNew.do?lang=en&serviceId=5,200,Yes,"OBC Certificate Service - Chhattisgarh In Chhattisgarh, obtaining an Other Backward Class (OBC) Certificate is essential for individuals belonging to OBC communities to avail government benefits such as reservations in education, employment, scholarships, and welfare schemes. The application process is simple and can be completed through the eDistrict Portal of Chhattisgarh. Applicants need to register on the portal with their personal details or apply through LSK/CSC login, and select the “OBC Certificate” service. They must then fill out the application form, upload the required documents. Upon submission, a unique acknowledgment number (ARN) is generated for tracking the application. Once approved, the applicant receives an SMS notification and can download the digitally signed OBC Certificate directly from the portal. The certificate remains valid permanently, unless otherwise directed by the issuing authority, and can be used for all official and legal purposes across the state.",2,Lok Seva Kendra: ₹30.0 | Online: ₹30.0,35,3,"Residential Proof -> Certificate From Ward Member, Local Mla/Mp (No) |  -> Land And House Document () |  -> Ration Card () |  -> Electricity Bill () |  -> Domicile Certificate () |  -> Birth Certificate () |  -> Birth Information Form () |  -> Service Certificate / Identity Card Of Father / Guardian () |  -> Order Of Involuntary Migration () | Affidavit -> Affidavit (Yes) | Income Proof -> Certificate From Patwari/Sarpanch/Parshad (Yes) |  -> Income Certificate Employer/Form 16 () |  -> Ration Card () |  -> Income From Land/House () |  -> Other Documents () |  -> Application Form () | Obc Proof -> Educational Certificate (Yes) |  -> Transfer Certificate Of Primary School Education () |  -> Obc Certificate Of Father () |  -> Obc Certificate From Sarpanch / Parshad () |  -> Father/Guardians Service Certificate/Identity Card () |  -> Misal () |  -> Adhikar Abhilekh () |  -> Jamabandi () |  -> Census Register Of 1931 () |  -> Citizen Register Of 1959 () |  -> Dakhil / Kharij Panji () |  -> Disability / Unavailability Proof () | Vanshavali -> Vanshavali (No) |  -> Vanshavali 1 () |  -> Vanshavali 2 () |  -> Vanshavali 3 () |  -> Vanshavali 4 () | Gram Sabha Proposal (Resident Of Rural Areas People) -> Gram Sabha Proposal (Resident Of Rural Areas People) (No) | Madhya Pradesh Reorganization Act 2000 (No. 26 Of 2000 Under Section 67 C.G. State Cadre Allocation) Proof -> Madhya Pradesh Reorganization Act 2000 (No. 26 Of 2000 Under Section 67 C.G. State Cadre Allocation) Proof (No)",Lok Seva Kendra,22 Days,5,37
6,Income Certificate,https://cgedistrict.cgstate.gov.in/instractionPageNew.do?lang=en&serviceId=6,200,Yes,"Income Certificate Service The Income Certificate is a vital document required for availing various government schemes, scholarships, and welfare benefits. To apply, citizens must first register on the portal by providing details such as name, mobile number, email ID, Aadhaar number, and address. After login, they can select the Income Certificate service and fill the online application form with mandatory details including applicant’s name, residential address, age, qualification, employment status, and family income particulars. Applicants are required to upload scanned copies of supporting documents. The application is processed by the competent authority. Upon approval, applicants receive an SMS notification and can download the digitally signed Income Certificate directly from the portal. The certificate remains valid for a period of one year from the date of issue, and citizens are advised to renew it in a timely manner to continue availing government services and schemes.",2,Lok Seva Kendra: ₹30.0 | Online: ₹30.0,8,2,Affidavit -> Affidavit (Yes) | Income Proof -> Certificate From Patwari/Sarpanch/Parshad (Yes) |  -> Income Certificate Employer/Form 16 () |  -> Income From Land/House () |  -> Other Documents () |  -> Application Form () |  -> Form 16 () |  -> Income Of Other Members Of The Family (),Lok Seva Kendra,7 Days,3,19
7,Domicile Certificate,https://cgedistrict.cgstate.gov.in/instractionPageNew.do?lang=en&serviceId=7,200,Yes,"Domicile Certificate A Domicile Certificate is an important legal document that certifies a person’s permanent residence within the State and is required for availing various government services, educational opportunities, scholarships, employment preferences, and other state-specific benefits. To apply, the citizen must register on the e-District Portal by providing essential details such as name, mobile number, email ID, Aadhaar number, and address. After successful registration and login, the applicant should select the Domicile Certificate service from the list of available services and complete the online application form by furnishing mandatory details including personal information, residential address, period of residence in Chhattisgarh, and supporting documents particulars as required. The application is processed by the competent authority. Upon approval, the applicant is notified through SMS and can directly download the digitally signed Domicile Certificate from the portal.",2,Lok Seva Kendra: ₹30.0 | Online: ₹30.0,21,3,"Affidavit -> Affidavit (Yes) | Other -> Other Documents (No) | Proof Of At Least 15 Years Stay -> Birth Certificate (Yes) |  -> Father/ Guardian Service Certificate () |  -> Job Service Certificate / Identity Card (If The Applicant Is Under Govt./Semi Govt.) () |  -> Voters Identity Card () |  -> Land And House Document () |  -> Birth Information Form () |  -> Certificate From Ward Member, Local Mla/Mp () |  -> Ration Card () |  -> Electricity Bill () | Educational Certificate -> Middle School Certificate - 8th Standard (Yes) |  -> Primary School Certificate - 5th Standard () |  -> High School(10th) Certificate () |  -> Higher Secondary School Certificate(12th) () |  -> M.Phil/D.Lit./Ph.D. Certificate () |  -> School Certificate (As A Proof Of 3 Years Continuous Study) () |  -> Post Graduation Certificate () |  -> Certificate In Technical Subjects () | Proof Of At Least 5 Years Stay -> Land And House Document (No) |  -> Persons Service Book. ()",Lok Seva Kendra,7 Days,6,23
8,RTI filling at District Collectorate,https://cgedistrict.cgstate.gov.in/instractionPageNew.do?lang=en&serviceId=8,200,Yes,Insert title here Instructions For RTI Filling at District Collectorate Eligibility Criteria: Applicant should be a citizen of India. Documents Required: RTI Acceptance Register. Fee Payment receipt. ID Proof. Fee Details: RTI Application fees-Rs 30 (for APL) Additional fees (case basis) Expected Delivery Date: Submission- 1 Day Response-30 working days Other Instructions:,2,Lok Seva Kendra: ₹30.0 | Online: ₹30.0,4,1,Identity Proof -> Identity Proof (No) | Bpl Proof -> Bpl Proof (Yes) | Certificate/Document -> Fee Payment Receipt (No) | Other Documents -> Other Documents (No),Lok Seva Kendra,30 Days,1,5
9,RTI filling at Municipalities/Panchayat,https://cgedistrict.cgstate.gov.in/instractionPageNew.do?lang=en&serviceId=9,200,Yes,Insert title here Instructions For RTI Filling at District Collectorate Eligibility Criteria: Applicant should be a citizen of India. Documents Required: RTI Acceptance Register. Fee Payment receipt. ID Proof. Fee Details: RTI Application fees-Rs 30 (for APL) Additional fees (case basis) Expected Delivery Date: Submission- 1 Day Response-30 working days Other Instructions:,2,Lok Seva Kendra: ₹30.0 | Online: ₹30.0,5,2,Bpl Proof -> Bpl Certificate (Yes) | Affidavit -> Affidavit (Yes) | Certificate/Document -> Fee Payment Receipt (No) | Other Documents -> Other Documents (No) |  -> Application Related Document (),Lok Seva Kendra,30 Days,1,5
10,Public Grievance Municipal Corporation/Municipality/Town Panchayat,https://cgedistrict.cgstate.gov.in/instractionPageNew.do?lang=en&serviceId=10,200,Yes,Important Instruction: Information must be complete and Poin wise. Give Your mobile no and Identity so that system can send SMS. Give Reference No if You have Already lodge given. Choose Your Grievance Category. Keep Your Generated Greviance Id for further Processing. Documents Required: Any Document or Photo Related to Public Greviance . Fee Details: Rs 30.00 Expected Greviance Solution/Action Date: Citizen should be getting a response normally within 30 working days,2,Lok Seva Kendra: ₹30.0 | Online: ₹30.0,2,0,Affidavit -> Affidavit (No) | Additional Document -> Application Related Document (No),Lok Seva Kendra,30 Days,1,4
11,Public Grievance Collectorate,https://cgedistrict.cgstate.gov.in/instractionPageNew.do?lang=en&serviceId=11,200,Yes,Important Instruction: Information must be complete and Point wise. Give Your mobile no and Identity so that system can send SMS. Give Reference No if You have Already lodge given. Choose Your Grievance Category. Keep Your Generated Greviance Id for further Processing. Documents Required: Any Document or Photo Related to Public Grievance Collectorate . Fee Details: Rs 30.00 Expected Greviance Solution/Action Date: Citizen should be getting a response normally within 30 working days,2,Lok Seva Kendra: ₹30.0 | Online: ₹30.0,1,0,Affidavit -> Affidavit (No),Lok Seva Kendra,30 Days,1,4
12,Application for inclusion in Indira Gandhi old age Pension,https://cgedistrict.cgstate.gov.in/instractionPageNew.do?lang=en&serviceId=12,200,Yes,"Application for inclusion in Indira Gandhi old age Pension In Chhattisgarh, the Indira Gandhi Old Age Pension provides financial support to elderly citizens who meet the state’s eligibility criteria. The service is available through the eDistrict Portal of Chhattisgarh and can also be accessed via Lok Seva Kendras (LSK) or Common Service Centres (CSC) for applicants requiring assistance. Eligible citizens, typically aged 60 years and above and meeting income requirements, can register on the portal and select the “Application for Indira Gandhi Old Age Pension” service. Upon submission, a unique Application Reference Number (ARN) is generated, allowing applicants to track the status of their application. The concerned authority verifies the application, which is generally processed within 60 days. Once approved, the applicant receives an SMS notification, and the pension amount is directly credited to the beneficiary’s bank or post office account.",2,Lok Seva Kendra: ₹30.0 | Online: ₹30.0,11,3,Domicile Certificate -> Issued By Gazetted Officer Or Ombudsman (Yes) |  -> Issued By Councillor () | Age Proof Document -> Sarpanch Or In Case Of Urban Area Mayor (Yes) |  -> Administrator () |  -> Officer Authorized By The President () |  -> Birth Registration Certificate () |  -> Doctors Certificate () |  -> School Certificate () | Other Documents -> Other Documents (No) | Below Poverty Line Related Document -> Bpl Certificate (Yes) | Bank/Post Office Account Passbook -> Bank/Post Office Account Passbook (No),Lok Seva Kendra,60 Days,4,27
13,Application for inclusion in Samajik Suraksha Pension Yojana,https://cgedistrict.cgstate.gov.in/instractionPageNew.do?lang=en&serviceId=13,200,Yes,"Application for Inclusion in Sukhad Sahara Yojana The Sukhad Sahara Yojana provides financial assistance to eligible beneficiaries in Chhattisgarh to support their livelihood and social security needs. Citizens can apply for this service either by creating an account and applying directly on the eDistrict Portal, or by visiting their nearest Lok Seva Kendra (LSK) or Common Service Centre (CSC) for assistance. After logging in, applicants need to select the “Application for Inclusion in Sukhad Sahara Yojana” service under the Social Welfare section, fill out the online form, and upload the required supporting documents. Once the application is submitted successfully, a unique Acknowledgment Number (ARN) is generated for tracking the status. The application is then forwarded to the concerned authority for verification, and if the applicant is found eligible, it is approved. The sanctioned assistance amount is directly credited to the beneficiary’s bank or post office account, ensuring timely and transparent delivery of benefits.",2,Lok Seva Kendra: ₹30.0 | Online: ₹30.0,15,6,Domicile Certificate -> Issued By Gazetted Officer Or Ombudsman (Yes) |  -> Issued By Councillor () | Age Proof Document -> Sarpanch Or In Case Of Urban Area Mayor (Yes) |  -> Administrator () |  -> Officer Authorized By The President () |  -> Birth Registration Certificate () |  -> Doctors Certificate () |  -> School Certificate () | Disability Certificate -> Certificate Issued Pursuant To The Provisions Of The Persons With Disabilities Act -1995 (Yes) | School Going Certificate For Age Group 6-14 Disable Students -> Respective School Principal (Yes) |  -> Issued By The Principal () | Dwarf Certificate -> Issued By Authorized Physician (Yes) | Other Documents -> Other Documents (No) | Below Poverty Line Related Document -> Bpl Certificate (Yes) | Bank/Post Office Account Passbook -> Bank/Post Office Account Passbook (No),Lok Seva Kendra,60 Days,4,32
14,Application for inclusion in Sukhad Sahara Yojana,https://cgedistrict.cgstate.gov.in/instractionPageNew.do?lang=en&serviceId=14,200,Yes,"Application for Inclusion in Sukhad Sahara Yojana The Sukhad Sahara Yojana provides financial assistance to eligible beneficiaries in Chhattisgarh to support their livelihood and social security needs. Citizens can apply for this service either by creating an account and applying directly on the eDistrict Portal, or by visiting their nearest Lok Seva Kendra (LSK) or Common Service Centre (CSC) for assistance. After logging in, applicants need to select the “Application for Inclusion in Sukhad Sahara Yojana” service under the Social Welfare section, fill out the online form, and upload the required supporting documents. Once the application is submitted successfully, a unique Acknowledgment Number (ARN) is generated for tracking the status. The application is then forwarded to the concerned authority for verification, and if the applicant is found eligible, it is approved. The sanctioned assistance amount is directly credited to the beneficiary’s bank or post office account, ensuring timely and transparent delivery of benefits.",2,Lok Seva Kendra: ₹30.0 | Online: ₹30.0,17,5,Domicile Certificate -> Issued By Gazetted Officer Or Ombudsman (Yes) |  -> Issued By Councillor () | Age Proof Document -> Sarpanch Or In Case Of Urban Area Mayor (Yes) |  -> Administrator () |  -> Officer Authorized By The President () |  -> Birth Registration Certificate () |  -> Doctors Certificate () |  -> School Certificate () | Death Certificate -> Related Village (Yes) |  -> Ward Arbitrator Of Urban Bodies () |  -> Certified By Councillor () | Divorcee Related Certificate -> Related Village (Yes) |  -> Ward Arbitrator Of Urban Bodies () |  -> Certified By Councillor () | Other Documents -> Other Documents (No) | Below Poverty Line Related Document -> Bpl Certificate (Yes) | Bank/Post Office Account Passbook -> Bank/Post Office Account Passbook (No),Lok Seva Kendra,60 Days,4,27
